name,location,price,area_type,area,bhk
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.22 Cr,Super Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.2 Cr,Super Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
"Sare Crescent Parc
3.6","3 BHK Flat in Sector 92, Gurgaon",₹1.22 Cr,Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
"Sare Crescent Parc
3.6","3 BHK Flat in Sector 92, Gurgaon",₹1.2 Cr,Super Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹60 Lac,Super Built-up Area,"750 sqft
(70 sqm)","2 BHK
(2 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.23 Cr,Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.25 Cr,Carpet Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.25 Cr,Super Built-up Area,"1,298 sqft
(121 sqm)","3 BHK
(3 Baths)"
"Corona Optus
3.9","3 BHK Flat in Sector 37C, Gurgaon",₹1.7 Cr,Super Built-up Area,"1,763 sqft
(164 sqm)","3 BHK
(3 Baths)"
C-71,"2 BHK Flat in Sai Kunj, Gurgaon",₹34 Lac,Super Built-up Area,"560 sqft
(52 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.63 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.29 Cr,Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.21 Cr,Carpet Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,495 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,500 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.67 Cr,Super Built-up Area,"1,500 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,503 sqft
(140 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.62 Cr,Super Built-up Area,"1,496 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.61 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.66 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.61 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.66 Cr,Super Built-up Area,"1,500 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.64 Cr,Super Built-up Area,"1,496 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.67 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.59 Cr,Super Built-up Area,"1,496 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.64 Cr,Carpet Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
